paper,config_chunks,style,output_file,seconds
Cohan_et_al_Long_Document_Summarization.pdf,4,concise,Cohan_et_al_Long_Document_Summarization_chunks4_concise.md,skipped
Cohan_et_al_Long_Document_Summarization.pdf,4,detailed,Cohan_et_al_Long_Document_Summarization_chunks4_detailed.md,skipped
Cohan_et_al_Long_Document_Summarization.pdf,6,concise,Cohan_et_al_Long_Document_Summarization_chunks6_concise.md,skipped
Cohan_et_al_Long_Document_Summarization.pdf,6,detailed,Cohan_et_al_Long_Document_Summarization_chunks6_detailed.md,skipped
Cohan_et_al_Long_Document_Summarization.pdf,8,concise,Cohan_et_al_Long_Document_Summarization_chunks8_concise.md,skipped
Cohan_et_al_Long_Document_Summarization.pdf,8,detailed,Cohan_et_al_Long_Document_Summarization_chunks8_detailed.md,skipped
ReferencePaper-AblationStudy.pdf,4,concise,ReferencePaper-AblationStudy_chunks4_concise.md,skipped
ReferencePaper-AblationStudy.pdf,4,detailed,ReferencePaper-AblationStudy_chunks4_detailed.md,skipped
ReferencePaper-AblationStudy.pdf,6,concise,ReferencePaper-AblationStudy_chunks6_concise.md,skipped
ReferencePaper-AblationStudy.pdf,6,detailed,ReferencePaper-AblationStudy_chunks6_detailed.md,skipped
ReferencePaper-AblationStudy.pdf,8,concise,ReferencePaper-AblationStudy_chunks8_concise.md,skipped
ReferencePaper-AblationStudy.pdf,8,detailed,ReferencePaper-AblationStudy_chunks8_detailed.md,skipped
research paper.pdf,4,concise,research paper_chunks4_concise.md,skipped
research paper.pdf,4,detailed,research paper_chunks4_detailed.md,skipped
research paper.pdf,6,concise,research paper_chunks6_concise.md,skipped
research paper.pdf,6,detailed,research paper_chunks6_detailed.md,24.08
research paper.pdf,8,concise,research paper_chunks8_concise.md,49.99
research paper.pdf,8,detailed,research paper_chunks8_detailed.md,37.03
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper.pdf,4,concise,Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks4_concise.md,24.07
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper.pdf,4,detailed,Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks4_detailed.md,14.19
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper.pdf,6,concise,Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks6_concise.md,20.45
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper.pdf,6,detailed,Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks6_detailed.md,66.70
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper.pdf,8,concise,Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks8_concise.md,32.36
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper.pdf,8,detailed,Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks8_detailed.md,33.18